day,emissions
2019-12-30 00:00:00,8398.551338709
2019-12-31 00:00:00,8396.539046716
2020-01-01 00:00:00,8394.527236868
2020-01-02 00:00:00,8392.515909050
2020-01-03 00:00:00,8390.505063145
2020-01-04 00:00:00,8388.494699039
2020-01-05 00:00:00,8386.484816616
2020-01-06 00:00:00,8384.475415760
2020-01-07 00:00:00,8382.466496357
2020-01-08 00:00:00,8380.458058291
2020-01-09 00:00:00,8378.450101446
2020-01-10 00:00:00,8376.442625708
2020-01-11 00:00:00,8374.435630960
2020-01-12 00:00:00,8372.429117088
2020-01-13 00:00:00,8370.423083976
2020-01-14 00:00:00,8368.417531511
2020-01-15 00:00:00,8366.412459574
2020-01-16 00:00:00,8364.407868054
2020-01-17 00:00:00,8362.403756833
2020-01-18 00:00:00,8360.400125796
2020-01-19 00:00:00,8358.396974831
2020-01-20 00:00:00,8356.394303818
2020-01-21 00:00:00,8354.392112647
2020-01-22 00:00:00,8352.390401200
2020-01-23 00:00:00,8350.389169362
2020-01-24 00:00:00,8348.388417021
2020-01-25 00:00:00,8346.388144058
2020-01-26 00:00:00,8344.388350361
2020-01-27 00:00:00,8342.389035814
2020-01-28 00:00:00,8340.390200303
2020-01-29 00:00:00,8338.391843713
2020-01-30 00:00:00,8336.393965928
2020-01-31 00:00:00,8334.396566835
2020-02-01 00:00:00,8332.399646319
2020-02-02 00:00:00,8330.403204264
2020-02-03 00:00:00,8328.407240558
2020-02-04 00:00:00,8326.411755082
2020-02-05 00:00:00,8324.416747726
2020-02-06 00:00:00,8322.422218374
2020-02-07 00:00:00,8320.428166909
2020-02-08 00:00:00,8318.434593220
2020-02-09 00:00:00,8316.441497191
2020-02-10 00:00:00,8314.448878707
2020-02-11 00:00:00,8312.456737655
2020-02-12 00:00:00,8310.465073919
2020-02-13 00:00:00,8308.473887386
2020-02-14 00:00:00,8306.483177940
2020-02-15 00:00:00,8304.492945469
2020-02-16 00:00:00,8302.503189857
2020-02-17 00:00:00,8300.513910990
2020-02-18 00:00:00,8298.525108754
2020-02-19 00:00:00,8296.536783035
2020-02-20 00:00:00,8294.548933719
2020-02-21 00:00:00,8292.561560691
2020-02-22 00:00:00,8290.574663838
2020-02-23 00:00:00,8288.588243044
2020-02-24 00:00:00,8286.602298198
2020-02-25 00:00:00,8284.616829182
2020-02-26 00:00:00,8282.631835886
2020-02-27 00:00:00,8280.647318193
2020-02-28 00:00:00,8278.663275991
2020-02-29 00:00:00,8276.679709165
2020-03-01 00:00:00,8274.696617602
2020-03-02 00:00:00,8272.714001186
2020-03-03 00:00:00,8270.731859806
2020-03-04 00:00:00,8268.750193347
2020-03-05 00:00:00,8266.769001694
2020-03-06 00:00:00,8264.788284735
2020-03-07 00:00:00,8262.808042355
2020-03-08 00:00:00,8260.828274442
2020-03-09 00:00:00,8258.848980880
2020-03-10 00:00:00,8256.870161557
2020-03-11 00:00:00,8254.891816359
2020-03-12 00:00:00,8252.913945172
2020-03-13 00:00:00,8250.936547883
2020-03-14 00:00:00,8248.959624378
2020-03-15 00:00:00,8246.983174543
2020-03-16 00:00:00,8245.007198267
2020-03-17 00:00:00,8243.031695433
2020-03-18 00:00:00,8241.056665930
2020-03-19 00:00:00,8239.082109644
2020-03-20 00:00:00,8237.108026461
2020-03-21 00:00:00,8235.134416269
2020-03-22 00:00:00,8233.161278952
2020-03-23 00:00:00,8231.188614400
2020-03-24 00:00:00,8229.216422498
2020-03-25 00:00:00,8227.244703133
2020-03-26 00:00:00,8225.273456191
2020-03-27 00:00:00,8223.302681560
2020-03-28 00:00:00,8221.332379127
2020-03-29 00:00:00,8219.362548777
2020-03-30 00:00:00,8217.393190399
2020-03-31 00:00:00,8215.424303879
2020-04-01 00:00:00,8213.455889104
2020-04-02 00:00:00,8211.487945961
2020-04-03 00:00:00,8209.520474337
2020-04-04 00:00:00,8207.553474118
2020-04-05 00:00:00,8205.586945194
2020-04-06 00:00:00,8203.620887448
2020-04-07 00:00:00,8201.655300770
2020-04-08 00:00:00,8199.690185047
2020-04-09 00:00:00,8197.725540166
2020-04-10 00:00:00,8195.761366011
2020-04-11 00:00:00,8193.797662475
2020-04-12 00:00:00,8191.834429440
2020-04-13 00:00:00,8189.871666797
2020-04-14 00:00:00,8187.909374431
2020-04-15 00:00:00,8185.947552230
2020-04-16 00:00:00,8183.986200081
2020-04-17 00:00:00,8182.025317872
2020-04-18 00:00:00,8180.064905490
2020-04-19 00:00:00,8178.104962824
2020-04-20 00:00:00,8176.145489758
2020-04-21 00:00:00,8174.186486183
2020-04-22 00:00:00,8172.227951985
2020-04-23 00:00:00,8170.269887051
2020-04-24 00:00:00,8168.312291269
2020-04-25 00:00:00,8166.355164527
2020-04-26 00:00:00,8164.398506712
2020-04-27 00:00:00,8162.442317713
2020-04-28 00:00:00,8160.486597416
2020-04-29 00:00:00,8158.531345709
2020-04-30 00:00:00,8156.576562481
2020-05-01 00:00:00,8154.622247618
2020-05-02 00:00:00,8152.668401009
2020-05-03 00:00:00,8150.715022542
2020-05-04 00:00:00,8148.762112103
2020-05-05 00:00:00,8146.809669582
2020-05-06 00:00:00,8144.857694866
2020-05-07 00:00:00,8142.906187843
2020-05-08 00:00:00,8140.955148400
2020-05-09 00:00:00,8139.004576427
2020-05-10 00:00:00,8137.054471811
2020-05-11 00:00:00,8135.104834438
2020-05-12 00:00:00,8133.155664200
2020-05-13 00:00:00,8131.206960981
2020-05-14 00:00:00,8129.258724673
2020-05-15 00:00:00,8127.310955161
2020-05-16 00:00:00,8125.363652335
2020-05-17 00:00:00,8123.416816082
2020-05-18 00:00:00,8121.470446291
2020-05-19 00:00:00,8119.524542851
2020-05-20 00:00:00,8117.579105647
2020-05-21 00:00:00,8115.634134571
2020-05-22 00:00:00,8113.689629510
2020-05-23 00:00:00,8111.745590352
2020-05-24 00:00:00,8109.802016985
